question_id,reasons,stem
q004845-ed79762a,option_duplicate,Rajesh purchased a mobile phone and a refrigerator for Rs. 12000 and Rs. 10000 respectively. She sold the refrigerator at a loss of 12 per cent and mobile phone
q005021-dbd408e6,option_bleed,"The average age of mother, father and son was 42 yrs. at the time of the marriage of the son. After one year an infant was born in the family and after 6 yrs of"
q005288-42c85e52,fraction_flattened,At what time Chirag will reach at point B?
q005289-e6b6ddd4,fraction_flattened,Aman would slow his speed by how much percent so that time taken by Aman and Chirag is same? (2marks)
q005299-9c29a651,fraction_flattened,If the speed of the train mentioned in the directions is 561 kmph and A policeman was travelling at a speed 8 which is 76 17 % more than the speed of the dog. T
q005300-f0463c27,fraction_flattened,"One day, a hospital in P received information that an accident had occurred at gutter 2. An ambulance started from P at 60 km/hr and 10 minutes later it crossed"
q005301-0f066753,fraction_flattened,If the distance of the tunnel increased by 66 3% and a cyclist starts from P to Q at 9 a.m. with a speed of 40 kmph while another cyclist starts from Q to P at 
q005320-36fe7476,fraction_flattened,The distance between places A and B is 999 km. An express train leaves place A at 6 am and runs at a speed of 55.5 km/h. The train stops on the way for 1 h 20 m
q005321-2753e52c,fraction_flattened,"A train covers a distance between station A and station B in 45 min. If the speed of the train is reduced by 5 km/h, then the same distance is covered in 48 min"
q005398-aa1f5179,fraction_flattened,Find the speed of stream of river?
q005399-e0bf392e,fraction_flattened,"After meeting, if they decided to return to their original places but Ramesh travelled for 19 km and Suresh travelled for 16 km, then what is the sum of time ta"
q005403-dba641c2,option_bleed,"A river is flowing at a speed of 5 km/h in a particular direction. A man, who can swim at a speed of 20 km/h in still water, starts swimming along the direction"
q005406-96cf084a,fraction_flattened,A boat can cover 28 km downstream in 42 min. ratio of speed of boat in still water to speed of stream is 7 : 3. Find difference between time taken by boat to co
q005407-54d83d39,fraction_flattened,Speed of a boat in still water is 12 kmph and speed of stream is ‘x’ kmph. If in traveling 270 km upstream 2 boat takes 66 3% more time than traveling 270 km do
q005599-01f26d0e,chart_missing,"In the given figure, OP = PQ = 14 cm and semicircles are drawn on OP, PQ and OQ as diameters. Then, the perimeter of the shaded area is: Q O P"
q005617-cf6cbf6f,chart_missing,"In the given figure, circle P has diameter 2 m and circle Q has diameter 1 m. Find the area of the shaded region? P Q 3 3 3"
q005618-410aff61,chart_missing,"In the given figure, QRST is a square. If the area of each circle is 2π, then find the area of square QRST? Q R T S"
q005620-49bb0286,chart_missing,"In the given figure, if O is the centre of the circle, then find the value of y? O y° 51° Q P"
q005819-f5e4658b,equation_degraded,(i) x² + 5x = 5 (2x + 3x) (ii) 3y² + 2y = 2(y + 6)
q006083-5622cccf,fraction_flattened|chart_missing,Total unsold order of ice cream by shop E is what percent more than total unsold order of ice cream by shop D?
q006084-aac4c16d,fraction_flattened|chart_missing,"Out of total order of ice cream sold by shop B, 25% are chocolate, 15% are vanilla and rest are strawberry. If 1 33 3 % & 75% of total order of chocolate and va"
q006086-f11b17d2,fraction_flattened|chart_missing,"Find average number of unsold orders of ice cream for A, B & E?"
q006087-6ae57360,fraction_flattened|chart_missing,If total orders of ice cream purchased by shop X is 25% more than that of B and total unsold orders of ice cream by shop X is equal to difference between total 
q006088-8eac506b,fraction_flattened|chart_missing,Find the central angle for total orders of ice cream purchased by C?
q006089-e5fe9b45,fraction_flattened,"If total vacant seats in bus C is 60% less than that of in bus E, then find number of vacant seats in D?"
q006090-921dea9f,fraction_flattened,Find ratio of total vacant seats in bus B to total booked seats in bus A?
q006091-11e8333e,fraction_flattened,Vacant seats in bus C are what percent less than vacant seats in bus A?
q006175-dc5a7b10,fraction_flattened,What is the cost price of an article? A. After allowing a discount of 15% on marked price the shopkeeper charges Rs 1020 for it. B. If he had not allowed any di
q006176-c643bdef,option_bleed,What is the staff strength of Company ‘X’? A. Male and female employees are in the ratio of 2 : 3 respectively. B. Of the officer employees 80% are males. C. To
q006181-0a9dc737,option_bleed,Find area of a rectangle. A. Length and breadth of the rectangle are in the ratio of 4 :3. B. Sum of the lengths of diagonals of the rectangle is 50 m. C. Area 
q006183-5cbeb60e,fraction_flattened|option_bleed,What is the cost price of an article? A. Selling price of 6 articles is equal to the cost price of 7 such articles. B. If the shopkeeper had allowed a discount 
q006187-b9be322a,option_bleed,"What is the two-digit number?
I. Number obtained by interchanging the digit is more than the original number by 9.
II. Sum of the digits is 7. III. Difference b"
q007009-6fb33d62,context_missing,Who among the following person stands immediately below Elena?
q007012-3763f38d,context_missing,Who among the following person w as b orn
q007019-388160ad,option_duplicate,"How many floors are there in the building? a) Flat A, floor 2"
q007037-59587ab4,context_missing,Which key is used to delete characters to the left of the cursor?
q007040-7966743b,context_missing,ENIAC belongs to which computer generation?
q007133-e847ec65,option_duplicate,What is the smallest and largest font size available in Font Size tool on formatting toolbar?
q007148-ae8ff22a,option_duplicate,The minimum number of rows and columns in MS Word document is
q007158-69f18b24,option_bleed,"If you want to convert a symbol or several lines of text into an AutoCorrect entry, you should:"
q007227-036cae44,context_missing,What is the shortcut key to move one word to the left in MS Word?
q007272-e81a2510,option_bleed,"When you save a Microsoft Access project, what file format do you use?"
q007322-46a0c92f,context_missing,What is the shortcut key to move one word to the left in MS Word?
