question_id,reasons,stem
q000263-bc3a2b1e,equation_degraded,"I. 7x - 54x + 99 = 0
II. 4y² - 16y + 15 = 0"
q001045-6e8332a0,context_missing,Which of the following player belongs to Afghanistan?
q001046-e7036fdc,context_missing,The one who belongs to India sits third to the right of ______________
q001048-476d67a0,context_missing,The one who belongs to Jaipur sits third to the left of ______________
q001049-71eec7de,context_missing,Who sits second to the left of Durga?
q001050-9571311f,context_missing,Which of the following person belongs to Lucknow?
q001051-421323e0,context_missing,Which of the following persons sits at the extreme ends of one row?
q001079-46e3e804,context_missing,Which of the following person working in Allahabad Bank?
q001084-946e2386,context_missing,Which of the following person sits exactly between who have training inMumbai and Bhubaneswar?
q001086-3b6eca6c,context_missing,Which of the following persons sits exactly between Akshay and the one who likes Basketball?
q001088-8801d02e,context_missing,Hockey like by which of the following person?
q001097-90fb463f,context_missing,Which of the following person have Redmi mobile?
q001102-b62d1e64,context_missing,Which of the following person diagonally opposite to Maalini?
q001103-91d22e53,context_missing,Nisha sits third to the right of ______________
q001108-59b062f3,context_missing,Who sits third to the left of the one who likes Orange juice?
q001111-5bd352bf,context_missing,Who sits third to the left of the one who have Sony mobile?
q001113-59ce9a97,context_missing,Which of the following persons likes Speed watch?
q001119-31ac97ce,stem_truncated,Who among the following is selected in
q001122-f55efa99,context_missing,Subash faces which of the following person?
q001131-e6c5904f,context_missing,"If each digit in the step II is subtracted with 2 then added, then what will be the final sum?"
q001186-a11b8a6e,option_bleed,"I. p2+13p+42=0
II. q2=36 Directions (Q. 16-20): In each question two ego numbered I and II are given. You have to solve both equations and mark the appropriate "
q001278-d1102a16,option_bleed,] = [ (842 / 5) × (256 / 37) ] + [ (616 / 52) × (2089 / 19) ] = (215552 / 185) + (1286824 / 969) = 1165.14 + 1302.45 = 2467.59 Directions (Q.161-165): What appr
q001279-cc50f047,option_bleed,? × 35 = (13.08% of 7439) × (4.23% of 323) = [(13 × 7450) / 100] × [(4 × 325) / 100] = 13 × 74.5 × 13 = 169 × 74.5 = 12590.5 :. ? = (12590.5/35) ≈ 360 ≈ 362 Dir
q001281-fcd2cac0,option_bleed,(?)2 – 64 = (84 + 44) × (84 – 44) = 128 × 40 = 5120 :. (?)2 = 5120 + 64 = 5184 :. ? = √(5184) = 72 Directions ( Q. 341 -345): What Value should come in place of
q001283-3cf651db,option_bleed,? = 345% of 90 + 270% of 150 = [(345 × 90) / 100] + (270 / 100) × 150 = 310.5 + 405 = 715.5 Directions (Q. 401–410): What approximate value should come in place
q001442-b982d4ad,context_missing,Which of the following players sits at the extreme ends of one row?
q001447-744a89a4,context_missing,Which of the following person ordered the product on Monday?
q001449-d0618976,context_missing,Which of the following person saved 2500 rupees?
q001453-9ad56602,context_missing,Who among the following exactly sitting between Krishna and Roshan?
q001455-bf554262,context_missing,How many persons sit between Vinoth and the one who likes Tennis?
q001457-8186bc9b,context_missing,Which of the following persons likes Grapes juice?
q001459-c24e2579,context_missing,The only person who is sitting between R and O is working on which of the following state?
q001472-a812a876,option_duplicate,What is the code for ‘plays Verb’ in the given code language?
q001483-32c784d3,option_bleed,(12/17) × (25/100) × 1020 = 120 + ? 286). 36% of 420 – 56% off 350 = ? - 94 => 180 = 120 + ?
q001787-6484d985,option_duplicate,Which of the following can diminish the importance farm ponds?
q001793-c2a8dd50,context_missing,Owner of Restaurant A has decided to decrease the price of Full Thali to attract the customers while the Owner of Restaurant B will keep the price unchanged. Bo
q002425-8bf99f01,chart_missing,"In B there are only two parties – BJP & INC. If BJP got 60% of total votes in B and ratio of invalid votes received by BJP and INC is 2 : 1, then find valid vot"
q002426-df89f2b6,chart_missing,"In C there are four parties – BJP, INC, SP & AAP. If ratio of valid votes received by BJP, INC, SP & AAP in C is 4 : 2 : 3 : 3 and ratio of invalid votes receiv"
q002427-efdf88de,chart_missing,What is the difference between average number of students of school A across all the years and the average number of students of school B across all the years?
q002428-43fdb376,chart_missing,Find the respective ratio of the total number of students of school A in 2011 and 2012 together to the total number of students of school C in 2013 and 2014 tog
q002429-48a9acba,chart_missing,"If in 2016, the total number of students in School A, School B and School C increases by 10%,20% and 15% respectively as compared to 2015, then find the total n"
q002430-d3021e03,chart_missing,Total students of all the school together in 2013 is approximately what percentage more/less than the total students of school B in 2011 and 2015 together?
q002432-81ac2585,chart_missing,What is average number of students who have opted for MBBS in all the 4 colleges?
q002433-120880fc,chart_missing,What is the ratio of the total number of student who have opted for both engg. and MBBS stream together in college Q to that of in same stream together in colle
q002434-c74c8b93,chart_missing,The number of student who have opted for MBBS in college P is what percent of the number of students who have opted for the engg. in college Q?
q002436-a40817dc,chart_missing,"Which of the combination represents the colleges with maximum number of students, who have opted for pharmacy and those who have opted for engg. respectively?"
q002438-738a1f64,chart_missing,Find the respective ratio of Creta car sold in Delhi and Mohali together to the total of Innova car sold in Kolkata and Ahmedabad together?
q002439-25e79e83,chart_missing,Find the total number of cars sold in Kolkata?
q002440-1dba9979,chart_missing,Find the difference between number of Honda city cars sold in delhi and number of creta cars sold in surat?
q002441-e5be99b0,chart_missing,Find the average number of Honda city car sold in all the cities?
q002442-e300fa05,chart_missing,What is difference between average marks scored by Student A and Student B in all subjects?
q002443-2496bcde,chart_missing,What is Ratio of marks obtained by Student A in Maths and Computer together to the marks obtained by Student B in Science and English together?
q002444-ad66aca0,chart_missing,What is the overall percentage marks scored by Student B?
q002445-1707ba3f,chart_missing,Marks Scored by Student A in Math is what percent of marks scored by Student B in Science and English together?
q002446-f4d71c19,chart_missing,"If passing marks for each subject is 40% of 120, then what is the difference between passing marks and marks scored by Student B in Computer?"
q002447-6c92e4a8,chart_missing,"If company – B sold 80%, 90% and 80% buses manufactured by it in 2016, 2017 & 2018 respectively, then find average number of unsold buses of company – B in 2016"
q002448-bc7265bb,chart_missing,Buses manufactured by company – A in 2016 & 2018 together are what percent more or less than buses manufactured by company – D in 2017 & 2018 together?
q002450-3a4a35e0,chart_missing,Buses manufactured in 2018 by all these 5 companies together are approximately what percent of buses manufactured in 2016 by all these 5 companies together?
q002451-d9944bd2,chart_missing,"Average number of buses manufactured by company – B, C & D in 2017 are how much more or less than buses manufactured by company – D & E together in 2016?"
q002487-69a034a9,chart_missing,"If cost per kg of sugar, salt & rice is Rs. 10, Rs. 30 & Rs. 20 respectively then find the sum of difference of total cost of sugar and that of salt and differe"
q002496-b662bdcb,chart_missing,Which sections have equal number of students?
q002498-ff86a253,chart_missing,Find the respective ratio between total number of items purchased by males from store A on Tuesday and Wednesday together to the total numbers of items purchase
