question_id,reasons,stem
q003011-a8e19ff6,chart_missing,If number of employees travelling on Sunday by cab decreases by ‘Y’ with respect to employees travelling on Friday by cab and number of employees travelling on 
q003012-fe7ca998,chart_missing,What is the difference of number of employees travelling by metro on Wednesday and Thursday together and number of employees travelling by cab on same days toge
q003013-57d71613,chart_missing,"If total fare per person travelling by metro & cab are Rs.120, then ratio of total amount spent on Thursday by all employees travelling by cab to total amount s"
q003016-dc79fd2a,chart_missing,Total number of students who failed only in Quant in City ‘A’ is three times of total number of students passed the mains exams in city ‘B’ while total number o
q003017-4a7c3994,chart_missing,"In city D, total number of students who failed in Reasoning is ‘x’ more than total number of students who failed in only Quant. If total number of students who "
q003018-6a6aeaf6,chart_missing,Total number of students who failed in Quant in city E is how much more than total number of students who failed in Quant in city F?
q003019-243d7286,chart_missing,Ratio between total number of students who failed in Quant in city ‘B’ to total number of students who failed in at most one subject in city ‘C’ is 30 : 91. Fin
q003020-818674f5,chart_missing,Total number of students who failed in at most one subjects in city F is 24000 less than total number of students who failed in at least one subject in city A. 
q003022-b2fd4edd,chart_missing,Number of students is increases and decreases in Aravali and Nilgiri in 2013 respectively as compare to 2012. Number of girls who left Aravali joins Nilgiri (No
q003023-3c193616,chart_missing,"In 2012, Number of boys in Udaygiri and Shivalik are equal and Number of girls in Shivalik is 540 more than the Number of girls in Udaygiri. If in 2013, Number "
q003024-cdb93c94,chart_missing,In 2012 and in 2013 ratio of total strength of Udaygiri to that of Nilgiri is 4 : 5 and 5 : 8 respectively. Find the strength of Nilgiri in 2012 if strength of 
q003025-ab7754e8,chart_missing,"In2013, strength of all hostels increases as compare to 2012. If total strength of hostels in 2012 is 1030, then find the Number of boys in Aravali in 2013 is h"
q003027-f2364362,chart_missing,"Veer and Sameer started working together on another task, where Sameer work with 25% less efficiency. Veer and Sameer work for y hours and remaining work comple"
q003033-891571fc,chart_missing,If two marbels are picked at random from bag X then what is probability that either both are black or both are blue in color? 1 4 9
q003035-60af4f58,chart_missing,A man has a tank which has quantity of water equal to the quantity of water in P and T together. He opened pipe B and D together for filling his tank. After X m
q003036-7c38c351,chart_missing,"For filling tank S, man opened pipe D which fills the tank with 20% more efficiently. After X minutes man close the pipe D and opened pipe C and G together. Pip"
q003037-7cee02b4,chart_missing,Quantity of another tank K is 120% of total quantity of all seven tank. For filling the bigger tank man opened pipes alternatively in such a way that three pipe
q003038-a7e4db7e,chart_missing,"A man have a tank M, which has equal quantity of water as tank S and U together . For filling tank M man opened pipe A, C and G together for 17 some minutes man"
q003039-bfd09d53,chart_missing,"A man have a tank of 570 liter. Man opened three pipes B, D and C together for filling the tank but pipe C fills the tank at 175% of its initial Efficiency. The"
q003042-bc442349,option_duplicate,"Q started a business with his investment, after some month S came to joined with him and invest his amount in business. At the end of 3 year, the ratio of profi"
q003050-656f3169,fraction_flattened|chart_missing,"If a person wants to buy T-shirts, what is minimum average price/t- shirts he could get?"
q003051-7bd637ca,fraction_flattened|chart_missing,If cost price of J₂ for shopkeeper is Rs. 1000. Find MRP of J₂ if he earns a profit of 20% on selling a single piece.
q003052-83943637,fraction_flattened|chart_missing,Find the cost price of S₂ if he earns a profit of 14 7% on C.P.
q003053-fb58ee17,fraction_flattened|chart_missing,"A boy buys 5 pieces of T₂, 4 pieces of J₁, & 1 piece of S₁ including offer. Find the amount paid by him (in Rs.)"
q003054-5c7d6ac3,fraction_flattened|chart_missing,"If a person buys 4 pieces of T₂, 2 pieces of T₁ & 4 pieces of J₁ including offer. Find overall discount% obtained by him."
q003059-a4d5c135,fraction_flattened|chart_missing,"If A consumes 1liter petrol for every 15 km, and if A is 25% more economic than B. What is the ratio of petrol consumed by them till2:00PM?"
q003061-165f46cf,chart_missing,If the ratio of amount obtained by A to that of C is 4: 3. Find the ROI obtained by C.
q003062-eb653479,fraction_flattened|chart_missing,"If a new person Vikas deposit half of the money invested by A, for 3 more years than C, calculate his ROI, if SI obtained by him is same as SI obtained by D. 1 "
q003063-8b86ae01,chart_missing,What is the ratio of time period for which E invested to that of B?
q003064-ba860c16,chart_missing,"If after drawing his whole money, D invested 50% of this amount in CI for 2 years at ROI/annum of 10% and remaining of the money he kept with him. Calculate tot"
q003068-40ad1373,fraction_flattened|chart_missing,If ratio of speed of current on 2nd August to 4th August is 2 : 3 & speed of Rahul on both days are same and time in upstream on 4th August. is 24 times the tim
q003069-68f690fa,chart_missing,"On Tuesday, Rajdhani exp. crosses a tunnel of some length in 12.5 sec while Duranto express having length 25% more than that of Rajdhani exp. crosses the same t"
q003070-b070f9ff,chart_missing,"On Sunday, Duranto exp. having length 110 m less than that of Rajdhani 8 exp. crosses Rajdhani exp. travelling in opposite direction in 8 9 sec then find the ap"
q003071-e614b75c,chart_missing,"On Friday, the speed of Rajdhani exp. was 90 km/hr and on the same day, Shatabadi exp. started from station P and going to Q while Duranto started from station "
q003072-8bac3f98,chart_missing,Duranto exp. having length 28% more than that of Rajdhani exp. on Monday crosses a platform of same length in 12.8 sec. Then find the difference between average
q003073-1c43cf4c,chart_missing,"On Wednesday, train ‘B’ crosses train ‘D’ coming from opposite direction in 6 seconds. If speed of train ‘B’ on Monday is 97.2 km/hour then in how much time tra"
q003074-eeb54464,chart_missing,"Train ‘C’ start from Delhi on Monday at 7:00 p.m and reach Kanpur on next day at 3:00 pm. In return journey on Tuesday, train ‘C’ start from Kanpur at 6 : 00 pm"
q003075-b2f100df,chart_missing,"On Monday, train ‘A’ takes 2.5 hours more to cover 900 km distance than train ‘C’. If train ‘A’ can cross a platform of length 128 in 12.8 seconds on Tuesday th"
q003076-97bc31aa,chart_missing,Ratio between speed of train ‘E’ to train ‘F” on Monday is 3 : 2. On Tuesday train ‘E’ cross train ‘F’ running in same direction in 24 seconds then find the tim
q003077-9557655e,chart_missing,Ratio between time taken by train ‘B’ to train ‘D’ to cross a pole on Monday is 1 : 1. The time taken by train ‘B’ to cross a pole on Wednesday is what percent 
q003081-06cf4290,fraction_flattened|chart_missing,Selling price of article ‘X’ sold by ‘E’ is same as cost price of article ‘Y’ for ‘E’. Find the profit % earned by ‘E’ on selling article ‘Y’? (1 Mark)
q003083-41062414,fraction_flattened|chart_missing,"Time taken by car ‘P’ to travel from city ‘E’ to Delhi and then Delhi to city ‘B’, is equal to the time taken by car ‘R’ to travel from Delhi to city ‘A’ and th"
q003084-ad28e3ba,fraction_flattened|chart_missing,Find the approximate time car ‘T’ takes to reach city ‘E’ from city ‘A’ if city ‘A’ and city ‘E’ is north and east direction of Delhi respectively.
q003085-5f3105ba,fraction_flattened|chart_missing,Car Q and Car S start from Delhi for city B and city C respectively and they reached in equal time. If Car Q and Car S starts from city B and city D respectivel
q003086-28644fce,fraction_flattened|chart_missing,"A thief runs in a car S from Delhi to city E and after 6 hours of running, a policeman started to catch him in a car R. Due to this, thief increases the speed o"
q003087-d6ace988,fraction_flattened|chart_missing,"Car P and Car Q start from Delhi for city A. Car Q first reaches at city A and meets car P in between the way, 200 km from city ‘A’. Find after how much time th"
q003088-f4a72190,chart_missing,All five starts working together to complete work ‘X’. ‘Veer’ left after 8 days. Work done by ‘Bhavya’ is same as work done by ‘Neeraj’ while ‘Abhi’ and ‘Neeraj
q003089-1e3cb79b,chart_missing,Abhi and Neeraj together can complete work ‘Z’ in (A + 42) days while Bhavya and Satish together can complete work ‘Z’ in (A + 15) days. All start the work Z su
q003090-4ae86429,fraction_flattened|chart_missing,All five persons started together to complete work ‘Y’. Veer worked for starting 6 days and left the work. After 3 days more both Bhavya and Satish left too. Re
q003091-02c5bc5e,chart_missing,"Abhi, Bhavya and Neeraj together starts to do work ‘M’. After 7 days ‘Neeraj’ left and after 3 days more ‘Abhi’ and ‘Bhavya’ left. Remaining work is completed b"
