question_id,reasons,stem
q008691-bb059203,context_missing,"India has committed to achieving net-zero carbon emissions by 2070 and is actively investing in clean energy solutions such as solar parks, green hydrogen, and "
q008697-148b4cb9,chart_missing,"The average number of apples sold by A, C and D is"
q008698-b9aed2d1,chart_missing,The total number of students in schools B and D together is what percentage more or less than the total number of students in school E?
q008699-ec1a5fe5,chart_missing,Find the central angle corresponding to the total number of students in B and D together (in degree)? B
q008700-61d31229,language_hindi|option_empty,"Two roots of equation x2 – Px + 84 = 0 is ‘a’ and ‘b’, and a-b ="
q008729-318517e3,chart_missing,If there is an increase of 10% and 20% in the number of passed candidates in city X and Y in year 2011 respectively from year 2010 and total passed candidate fr
q008748-743a8133,fraction_flattened|option_bleed|chart_missing,"If the average of total profit earned in Energy sector by all three businessmen is Rs.132000, then amount invested by Aditya is what percentage of the total mon"
q008752-795432b4,chart_missing,What is the ratio of the total number of bangles sold by stores S and T together in August to the total number of bangles sold by the same stores together in Se
q008754-aa70e8b1,chart_missing,Harshit and Neetu earned their profit in 2012 by investing their money in a business for 8 months and 10 months respectively. Find the amount invested by Neetu 
q008758-22bd7b24,chart_missing,In which year Rajat earned a profit 5% more than 5/6th of Harshit’s profit in year 2015?
q008767-ec9e10fe,option_bleed,"What is the difference between average number of post graduate employees in countries A, B and D together and average number of post graduate employees in count"
q008769-3fb0b4a8,chart_missing,"What is the average number of Indian author books in library A, C and F together?"
q008770-ca22779a,option_bleed|chart_missing,"What will be the difference between number of Indian author books in libraries A and B in year 2017, if the total number of books in library A is decreased by 2"
q008771-cdc003e8,chart_missing,The number of foreign author books in library C is how much percent less than the number of Indian author books in library F?
q008772-1f9b59af,option_bleed|chart_missing,What is the ratio of number of Indian author book in libraries C and D together to the number of foreign author books in libraries E and F together?
q008774-63e93f03,fraction_flattened|option_bleed|chart_missing,If Car A and Car D manufactured in 2012 increases by 11 9 % and 1 8 3 % respectively. Then what will be percentage change in total car manufactured in 2012.
q008775-4f75a7a8,option_bleed|chart_missing,"What will be the average of car A, B and C manufactured in 2013, If the ratio of number cars A, C and E manufactured in 2013is 2 : 3 : 4 respectively."
q008776-0f18da7d,chart_missing,Car A and B manufactured together in 2011 is how much % less or more than Cars A and B manufactured together in 2015.
q008777-4694779b,option_bleed|chart_missing,"Among 5 cars, which car is the 2nd highest manufactured car in the duration of five year If the ratio of number cars A, C and E manufactured in 2013 is 4 : 3 : "
q008778-22c59bc6,chart_missing,Total cars manufactured in 2013 is how much percent more than the number of cars B and D manufactured together in 2013.
q008781-7769d5b7,fraction_flattened|chart_missing,What is 25% of the difference between the total marks obtained by Neeraj in Maths & Biology together and that obtained by Rohit in Hindi and English together?
q008786-21b7cb52,option_bleed|chart_missing,"What is the difference between the number of passed students from A, B and D together in 2011 and the number of failed students from A, C and F together in 2012"
q008787-51a09642,option_bleed|chart_missing,By what percent (approx) the failed students from school D are more or less than the passed students from E in all three years together ?
q008788-b93e09cf,chart_missing,The total number of passed students from school E in 2010 is approximately what percent of the total number of failed students from school C in 2012?
q008793-a63886a4,chart_missing,Find the annual income of soha.
q008794-75dbeb65,option_bleed|chart_missing,Find the difference in the monthly savings of Suchi and Meenu.
q008797-ceaa6aba,chart_missing,"Find the average of monthly income of Soha, Suchi and Teena."
q008799-88377b4a,chart_missing,"In Delhi, if 780000 people live below poverty line, then what is the ratio of difference between Male and female below poverty line and difference between Male "
q008802-07ab7ad0,chart_missing,People below poverty line in Kolkata is what percent of Males in Kolkata? (approximately)
q008804-43f445e7,chart_missing,What is the ratio of total number of students passed in 2013 in both the exams to total number of students passed in 2014 in both the exam?
q008805-493e1a4d,option_bleed|chart_missing,Find the difference between the number of students passed in exam ‘P’ in 2011 and 2012 together to number of students passed in exam ‘Q’ in 2014 and 2015.
q008806-a170a875,chart_missing,What is the average number of students appeared in exam ‘Q’?
q008807-0f51b6b3,chart_missing,Total number of students appeared in exam ‘P’ in 2012 and 2013 together is how much percentage more than the number of students appeared in 2014 in exam ‘P’?
q008808-93b9b4a4,fraction_flattened|chart_missing,What is the difference between the number of commerce graduates employees and Arts graduates employees in company L?
q008809-8e46663e,fraction_flattened|option_bleed|chart_missing,The average number of commerce graduates employees and science graduate employees in company Z was 338. What was the total number of employees in company Z?
q008810-b716da1c,fraction_flattened|option_bleed|chart_missing,If the respective ratio between the number of science graduate and commerce graduate employees in company K was 10 : 7. What was the number of commerce graduate
q008811-0871fd32,fraction_flattened|chart_missing,Total number of employees in company L increased by 20% from December 2008 to December 2009. If 20% of the total number of employees in company L in December 20
q008812-ca8b2030,fraction_flattened|chart_missing,Total number of employees in company X was three time the total number of employees in company Y. If the difference between number of commerce graduate employee
q008815-f79cd11a,fraction_flattened|chart_missing,"If total sales of Adidas and Nike together in 2002 is 1150 lakh, and cost of production of 5 : 4, then find the difference in the cost of production of the two "
q008825-26a60179,chart_missing,Total number of employees in Company E was 3 times the total number of employees in Company B. If the difference between number of Commerce graduate employees i
q008839-d7f9d996,chart_missing,Find the ratio of population of city D in 2013 to population of city A in the same year?
q008840-02eac147,chart_missing,Population of city B in 2016 is approximately what percent more than the population of city C in 2012 ?
q008841-5dde5de3,chart_missing,Population of city C in 2014 is what percentage of the population of city B in 2012?
q008842-b3489323,chart_missing,"What is the average population of city C, D and E in year 2012 ?"
q008843-48516d4f,chart_missing,What is the ratio of the population of city B and C together in 2012 to the city D and E together in 2013?
q008844-44120ed5,chart_missing,Find the difference in the compound interest and simple interest earned by Saket through scheme B if he invested Rs 12000 in scheme B.
q008845-dcf1fd0f,chart_missing,The amount obtained by Sanjeev by investing same sum of money in scheme A & B at compound interest are in ratio 25 : 16. Find the value of x.
q008846-518ca0d9,chart_missing,Saahil invested a sum of money(x) in scheme A at SI while Sarash invested three-seventh of x in scheme B at CI. Total interest earned by Saahil and Sarash is wh
q008847-bdf62817,chart_missing,"From a total of Rs 12,000 Sarash invested three-fifth in Scheme A and rest in scheme B at SI. Find the difference in the interest earned."
