question_id,reasons,stem
q007920-a587088e,stem_too_short|language_hindi|context_unusable,
q007921-0fb524b4,stem_too_short|language_hindi|context_unusable,
q007922-4895a8b9,stem_too_short|language_hindi|context_unusable,
q007923-48c1e7d2,stem_too_short|language_hindi|context_unusable,
q007924-852545ec,stem_too_short|language_hindi|context_unusable,
q007925-a5505d75,stem_too_short|language_hindi|context_unusable,2016
q007926-ae26cbe7,stem_too_short|language_hindi|context_unusable,2016
q007927-6a90f67a,stem_too_short|language_hindi|context_unusable,2012
q007928-05335932,stem_too_short|language_hindi|context_unusable,2013
q007929-91067b4f,stem_too_short|language_hindi|context_unusable,2017
q007930-3ccaf273,stem_too_short|language_hindi|context_unusable,A
q007931-49e6cfce,stem_too_short|language_hindi|context_unusable,
q007932-24609c07,stem_too_short|language_hindi|context_unusable,A
q007933-e86f6d99,stem_too_short|language_hindi|context_unusable,
q007934-28135f5a,stem_too_short|language_hindi|context_unusable,
q007935-03198bdf,stem_too_short|language_hindi,x
q007936-2ce879de,stem_too_short|language_hindi,A
q007937-b91dc06a,stem_too_short|language_hindi,
q007938-850c5ea1,stem_too_short|language_hindi,(A+10)
q007939-e92dfaff,context_unusable,6561.01 ÷ (8.98 × 3.01) ÷ 2.98 = ?
q007940-819daf72,context_unusable,127.001 × 7.998 + 6.05 × 4.001 = ?
q007941-18630924,context_unusable,39.05 × 14.95 – 27.99 × 10.12 = (36.01 + ?) × 4.98
q007942-f7618757,stem_too_short|language_hindi,P
q007943-599f2e16,stem_too_short|language_hindi,
q007944-fd2c561d,stem_too_short|language_hindi,
q007945-e24638e3,stem_too_short|language_hindi,
q007946-fd9ba4ca,stem_too_short|language_hindi,
q007947-bb49bde1,stem_too_short|language_hindi,X
q007948-313477a5,stem_too_short|language_hindi,
q007949-b94bbf3f,stem_too_short|language_hindi|option_empty|context_unusable,C
q007950-5ba1be1d,stem_too_short|language_hindi|context_unusable,
q007951-19ac9e7b,stem_too_short|language_hindi|context_unusable,
q007952-3a4089be,stem_too_short|language_hindi|option_empty|context_unusable,
q007953-791e7788,stem_too_short|language_hindi|option_empty|context_unusable,
q007954-256604d7,stem_too_short|language_hindi|option_empty|context_unusable,
q007955-098079e9,stem_too_short|language_hindi|option_empty|context_unusable,
q007956-eb10d796,stem_too_short|language_hindi|option_empty|context_unusable,
q007957-5babbeee,stem_too_short|language_hindi|option_empty|context_unusable,
q007958-f6326893,stem_too_short|language_hindi|option_empty|context_unusable,
q007959-6cb23050,stem_too_short|language_hindi|option_empty|context_unusable,
q007960-c18606e5,stem_too_short|language_hindi,
q007961-312cba75,stem_too_short|language_hindi|option_empty,
q007962-d34bdb5e,stem_too_short|language_hindi|option_empty|context_unusable,
q007963-7c81c215,stem_too_short|language_hindi|option_empty|context_unusable,
q007964-810f5f01,stem_too_short|language_hindi|option_empty|context_unusable,
q007965-92a695e7,stem_too_short|language_hindi|option_empty|context_unusable,
q007966-6310cd0e,stem_too_short|language_hindi|option_empty|context_unusable,T
q007967-c9da89ae,stem_too_short|language_hindi|option_empty|context_unusable,
q007968-b77966c9,stem_too_short|language_hindi|context_unusable,
q007969-1be4d303,stem_too_short|language_hindi|context_unusable,
q007970-a3107be9,stem_too_short|language_hindi|context_unusable,E
q007971-f91e190c,stem_too_short|language_hindi|context_unusable,L
q007972-d1c82d23,stem_too_short|language_hindi|option_empty|context_unusable,"N, R"
q007973-baa0d5a5,stem_too_short|language_hindi|context_unusable,
q008099-f022a9f9,option_bleed,"Based on the passage, how has the U.S. decision to legalize online betting impacted global gambling trends?"
q008136-3f62ddf4,fraction_flattened,The speed of stream is 16 2 3% of downstream speed of the boat and the boat covers 120 km upstream in five hours. If the boat covers D-3 km downstream and D+30 
